valuation_date,source,source_symbol,canonical_id,asset_class,quote_type,raw_value,conversion,factor,shift,currency,unit
2026-07-20,DEMO_SYNTHETIC,EUR-OIS-1M,RATE.EUR.OIS.1M,RATES,RATE,2.0,percent_to_decimal,1,0,EUR,DECIMAL
2026-07-20,DEMO_SYNTHETIC,EUR-OIS-3M,RATE.EUR.OIS.3M,RATES,RATE,2.05,percent_to_decimal,1,0,EUR,DECIMAL
2026-07-20,DEMO_SYNTHETIC,EUR-OIS-6M,RATE.EUR.OIS.6M,RATES,RATE,2.1,percent_to_decimal,1,0,EUR,DECIMAL
2026-07-20,DEMO_SYNTHETIC,EUR-OIS-1Y,RATE.EUR.OIS.1Y,RATES,RATE,2.15,percent_to_decimal,1,0,EUR,DECIMAL
2026-07-20,DEMO_SYNTHETIC,EUR-OIS-2Y,RATE.EUR.OIS.2Y,RATES,RATE,2.2,percent_to_decimal,1,0,EUR,DECIMAL
2026-07-20,DEMO_SYNTHETIC,EUR-OIS-5Y,RATE.EUR.OIS.5Y,RATES,RATE,2.35,percent_to_decimal,1,0,EUR,DECIMAL
2026-07-20,DEMO_SYNTHETIC,EUR-OIS-10Y,RATE.EUR.OIS.10Y,RATES,RATE,2.55,percent_to_decimal,1,0,EUR,DECIMAL
2026-07-20,DEMO_SYNTHETIC,USD-OIS-1M,RATE.USD.OIS.1M,RATES,RATE,4.4,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,USD-OIS-3M,RATE.USD.OIS.3M,RATES,RATE,4.35,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,USD-OIS-6M,RATE.USD.OIS.6M,RATES,RATE,4.3,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,USD-OIS-1Y,RATE.USD.OIS.1Y,RATES,RATE,4.2,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,USD-OIS-2Y,RATE.USD.OIS.2Y,RATES,RATE,4.1,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,USD-OIS-5Y,RATE.USD.OIS.5Y,RATES,RATE,4.0,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,USD-OIS-10Y,RATE.USD.OIS.10Y,RATES,RATE,3.9,percent_to_decimal,1,0,USD,DECIMAL
2026-07-20,DEMO_SYNTHETIC,GBP-OIS-1M,RATE.GBP.OIS.1M,RATES,RATE,4.1,percent_to_decimal,1,0,GBP,DECIMAL
2026-07-20,DEMO_SYNTHETIC,GBP-OIS-3M,RATE.GBP.OIS.3M,RATES,RATE,4.05,percent_to_decimal,1,0,GBP,DECIMAL
2026-07-20,DEMO_SYNTHETIC,GBP-OIS-6M,RATE.GBP.OIS.6M,RATES,RATE,4.0,percent_to_decimal,1,0,GBP,DECIMAL
2026-07-20,DEMO_SYNTHETIC,GBP-OIS-1Y,RATE.GBP.OIS.1Y,RATES,RATE,3.9,percent_to_decimal,1,0,GBP,DECIMAL
2026-07-20,DEMO_SYNTHETIC,GBP-OIS-2Y,RATE.GBP.OIS.2Y,RATES,RATE,3.8,percent_to_decimal,1,0,GBP,DECIMAL
2026-07-20,DEMO_SYNTHETIC,GBP-OIS-5Y,RATE.GBP.OIS.5Y,RATES,RATE,3.7,percent_to_decimal,1,0,GBP,DECIMAL
2026-07-20,DEMO_SYNTHETIC,GBP-OIS-10Y,RATE.GBP.OIS.10Y,RATES,RATE,3.65,percent_to_decimal,1,0,GBP,DECIMAL
2026-07-20,DEMO_SYNTHETIC,JPY-OIS-1M,RATE.JPY.OIS.1M,RATES,RATE,0.45,percent_to_decimal,1,0,JPY,DECIMAL
2026-07-20,DEMO_SYNTHETIC,JPY-OIS-3M,RATE.JPY.OIS.3M,RATES,RATE,0.5,percent_to_decimal,1,0,JPY,DECIMAL
